"Lens","Stage 1: Order Review & Appointment Confirmation","Stage 2: Pre-Delivery Qualification & Site Readiness Check","Stage 3: Route Planning & Inventory/Load Verification","Stage 4: Arrival & Home Access Confirmation","Stage 5: Appliance Removal","Stage 6: Install & Utility Connection","Stage 7: Testing & Customer Sign-Off","Stage 8: Post-Install Issue Resolution"
"Description","Confirm the order is deliverable and schedule correctly.","Verify the home, hookups, access path, and specs match the install.","Build a feasible route and verify the correct product, parts, and tools are loaded.","Confirm the actual site matches the plan and that safe access exists.","Remove the old unit safely when haul-away is included.","Place and connect the new unit correctly and to code.","Verify the unit works, brief the customer, and capture sign-off.","Resolve defects, damage, incomplete work, or customer complaints quickly."
"Customer","Wants clear timing and confidence the order and install scope are correct.","Must provide photos, site details, and readiness info so the crew can finish.","Usually unaware unless timing shifts; mainly waiting for the promised service window.","Must be present, provide access, and learn whether the job can proceed.","Wants safe removal without damage or haul-away surprises.","Watches install quality and wants the work to be safe, correct, and clean.","Wants proof the unit works before the crew leaves.","Wants fast ownership, clarity, and a remedy timeline."
"Primary Owner","Scheduling; operations management steps in when order data conflicts with install reality.","Pre-install support; operations escalates conflicts.","Dispatch / route planning; operations management handles major conflicts or shortages.","Crew lead; dispatch or operations joins if site conditions conflict with the plan.","Crew lead; management joins if damage, safety, or scope disputes appear.","Installer or crew lead; technical support or management joins for code, safety, or product issues.","Crew lead; dispatch or operations joins for disputes, damage, or failures.","Customer care, field service, or operations management depending on severity and cost."
"Supporting Roles","Sales/ecommerce handoff; operations management.","Dispatch; operations management; customer.","Warehouse/load team; pre-install support; crew lead.","Dispatch; operations management; customer.","Customer; dispatch; operations management.","Customer; dispatch; technical support; operations management.","Customer; dispatch; operations management.","Customer; dispatch; crew/installer; management."
"Top Pain Point","Order data conflicts with install reality.","Site readiness or specs do not match what is needed to install.","Product, part, or route assumptions are wrong at load/dispatch time.","Actual access path or site conditions do not match readiness information.","Shutoff access, utility condition, or haul-away scope is not what the crew expected.","A code, safety, product, or utility issue appears during hookup.","The unit fails test or the customer disputes quality, damage, or completeness.","Severity or ownership is classified incorrectly after the visit."
"Key Variable","Whether the conflict is minor and correctable or a true serviceability problem.","Whether the gap can be fixed remotely before dispatch or makes same-day install impossible.","Whether the shortage or route problem can be absorbed with resequencing/substitution or forces a replan.","Whether the mismatch is still safe/manageable or is a true no-go.","Whether the condition is safe and within crew authority or requires escalation.","Whether the issue is remediable within field authority or forces escalation/revisit.","Whether the problem is fixable immediately or requires handoff and evidence-backed escalation.","How severe and costly the issue is, and which team actually owns the remedy."
"Cascade Risk","Bad appointments; failed installs; wasted route capacity; customer distrust.","Crew arrives to a non-installable site; failed delivery; route waste; reschedule; lower trust.","Failed stop; wasted crew time; late route; customer disappointment; route disruption.","Injury; property damage; failed stop; route disruption.","Damage; leak; unsafe condition; failed install; complaint.","Unsafe install; liability; callback; customer harm; incomplete job.","Repeat visit; complaint escalation; chargeback/dispute risk; unresolved quality issue.","Delayed remedy; extra touches; duplicated work; angry customer; avoidable cost."
"Escalation Trigger","Order data creates ambiguity about what can actually be delivered or installed.","Safety, code, or cost decisions exceed field/front-line authority.","Conflicts or shortages exceed dispatch authority.","Crew cannot safely proceed because site conditions do not match the order.","Damage, safety, or scope dispute exceeds crew authority.","Code, safety, or product issues appear.","Dispute, damage, or failure cannot be resolved within the stop.","Severity or cost exceeds front-line authority."
"Notifications","Order confirmation and appointment confirmation.","Prep checklist, readiness requests, and timing changes if exceptions arise.","Mostly internal; route and crew prep.","Arrival call or 30-minute heads-up.","Confirm haul-away scope if needed.","Usually no automated notification during install.","Completion message, POD, photos, and customer briefing.","Follow-up, case updates, and resolution timeline."
"Systems / Tools","OMS; scheduling tools; CRM/order record.","Photos; notes; readiness checklist; specs; utility requirements.","Dispatch dashboard; route planning tools; inventory/load checks.","Order packet; site notes; customer contact details.","Haul-away request; safety checklist; disposal rules.","Product specs; install kit; tools; code requirements.","Test checklist; photos; POD/signature tools.","Case notes; complaint details; reason codes; service history."
