"Stakeholder / Role","Role Type","Stages Involved","Primary Decisions Owned","Must Be Informed When","Failure Impact If Missed","Inputs Needed","Outputs Produced","Escalation Authority","Notes / Jargon"
"Customer","customer","1-8","Confirms availability; provides site/readiness info; approves placement/sign-off; reports issues.","Appointment or readiness changes; no-go decisions; install limitations; post-install ownership/timeline changes.","Missed expectations; poor prep; disputes; weak sign-off; complaint escalation.","Appointment details; prep instructions; remedy timeline.","Availability; photos/site info; access; sign-off; complaint details.","None","Customer actions are operational inputs, not just CX context."
"Scheduling","operator","1-2","Confirms deliverability and sets appointment when the order is clean enough to schedule.","Order data conflicts with install reality or promised service needs correction.","Bad appointment set; downstream install failure; route waste.","Order attributes; contact data; service-level details.","Confirmed appointment; corrected order attributes; schedule commitments.","Limited; escalates to operations management on serviceability conflicts.","Stage-1 risk screening is more than admin work."
"Pre-Install Support","support/operator","2-3","Verifies readiness; flags site/spec/access issues before dispatch.","Readiness gaps change route feasibility; safety or code concerns appear.","Crew arrives to a non-installable site; route loss; avoidable reschedule.","Photos; specs; customer notes; utility requirements.","Readiness status; exception notes; route-feasibility flags.","Escalates conflicts beyond checklist authority.","This is where many failures are prevented before the truck leaves."
"Dispatch / Route Planning","operator","2-8","Owns route assignment; crew capacity decisions; resequencing; same-day route tradeoffs.","Readiness changes route feasibility; shortages appear; field issues affect downstream stops; revisit/handoff is needed.","Late route; missed windows; wrong crew/tools; cascading stop failure.","Confirmed install notes; crew capacity; geography; inventory status; field updates.","Route assignment; manifest notes; resequencing decisions; field support.","Escalates shortages or conflicts beyond dispatch authority.","Route feasibility is an operational judgment, not just a software output."
"Warehouse / Load Team","operator/support","3","Verifies product; parts; and accessories are on the right route.","Shortages; misloads; or missing kits are found during load verification.","Failed stop; wrong route; same-day rework.","Route manifest; SKU/accessory requirements; install notes.","Verified load record; shortage flags; corrected manifest.","Typically no final escalation authority; hands issues to dispatch/ops.","Critical for preventing hidden same-day failures."
"Crew Lead / Installer","operator","3-7","Makes field go/no-go; removal; install; testing; and sign-off decisions within authority.","Site mismatch; safety issue; scope dispute; install limitation; test failure; customer dispute.","Unsafe work; damage; incomplete install; weak evidence trail; complaint escalation.","Order packet; site notes; route notes; tools; install kit; customer presence.","Field notes; photos; stop disposition; sign-off; issue classification signal.","Escalates when safety; code; damage; scope; or authority boundaries are crossed.","Crew judgment is the key operational control point in stages 4-7."
"Operations Management","manager","1-8","Resolves serviceability conflicts; major route conflicts; safety/cost exceptions; high-severity recovery decisions.","Order conflicts; safety/code issues; route-breaking exceptions; major complaints or recovery cost cases.","Wrong issue owner; unsafe completion; avoidable cost; poor recovery experience.","Escalation notes; photos; cost/risk context; route impact.","Decision override; approval; recovery direction.","High","Authority boundary owner for non-standard decisions."
"Technical Support","support","6","Advises on code/product/install issues that exceed normal field authority.","Code questions; product defects; non-standard hookup decisions.","Unsafe install or wrong workaround; repeat visits.","Photos; defect details; install conditions; code issue notes.","Technical guidance; no-go/workaround recommendation.","Advisory or delegated depending on org design.","Most visible when install stops being standard."
"Customer Care","support","8","Owns communication-heavy post-install cases and customer-facing recovery updates.","Issue is reported after the visit; ownership/timeline must be communicated.","Dropped cases; customer confusion; repeated contacts.","Complaint details; install notes; promised timeline; service history.","Case ownership; customer updates; routed follow-up.","Limited; escalates high-severity or cost issues.","Fast ownership often matters more to the customer than instant resolution."
"Field Service","downstream/operator","8","Owns revisit/rework when the issue requires field remedy.","Post-install issue requires physical remedy or technical revisit.","Long open cases; repeated failures; duplicated visits.","Case file; original install evidence; parts/tools requirements.","Revisit completion; rework notes; remedy proof.","Escalates high-severity or ambiguous cases to management.","Triggered when post-install resolution becomes a new field workflow."
